Bayer Name	RA	Dec	Mag
Tau Phe	0.02	-48.81	5.71
The Oct	0.03	-77.07	4.78
29 Psc	0.03	-3.03	5.13
30 Psc	0.03	-6.01	4.37
85 Peg	0.04	27.08	5.8
Zet Scl	0.04	-29.72	5.04
31 Psc	0.04	8.96	6.33
32 Psc	0.04	8.49	5.7
2 Cet	0.06	-17.34	4.55
9 Cas	0.07	62.29	5.9
3 Cet	0.08	-10.51	4.99
33 Psc	0.09	-5.71	4.61
86 Peg	0.09	13.40	5.55
10 Cas	0.11	64.20	5.57
21Alp And	0.14	29.09	2.07
87 Peg	0.15	18.21	5.57
11Bet Cas	0.15	59.15	2.28
Kap1Scl	0.16	-27.99	5.42
Eps Phe	0.16	-45.75	3.88
34 Psc	0.17	11.15	5.54
Gam3Oct	0.17	-82.22	5.29
22 And	0.17	46.07	5.01
6 Cet	0.19	-15.47	4.89
Kap2Scl	0.19	-27.80	5.41
The Scl	0.20	-35.13	5.24
88Gam Peg	0.22	15.18	2.83
23 And	0.23	41.04	5.71
89Chi Peg	0.24	20.21	4.79
7 Cet	0.24	-18.93	4.44
35 Psc	0.25	8.82	6.02
36 Psc	0.28	8.24	6.12
24The And	0.28	38.68	4.61
25Sig And	0.31	36.79	4.51
26 And	0.31	43.79	6.1
8Iot Cet	0.32	-8.82	3.56
Zet Tuc	0.33	-64.88	4.23
41 Psc	0.34	8.19	5.38
Pi  Tuc	0.34	-69.62	5.5
27Rho And	0.35	37.97	5.16
Iot Scl	0.36	-28.98	5.18
42 Psc	0.37	13.48	6.25
9 Cet	0.38	-12.21	6.39
12 Cas	0.41	61.83	5.38
44 Psc	0.42	1.94	5.77
Bet Hyi	0.43	-77.26	2.82
Kap Phe	0.44	-43.68	3.93
Alp Phe	0.44	-42.31	2.4
10 Cet	0.44	-0.05	6.16
Eta Scl	0.47	-33.01	4.86
47 Psc	0.47	17.89	5.01
48 Psc	0.47	16.45	6.05
12 Cet	0.50	-3.96	5.72
28 And	0.50	29.75	5.2
Lam1Phe	0.52	-48.80	4.76
13 Cas	0.52	66.52	6.18
Bet1Tuc	0.53	-62.96	4.36
Bet2Tuc	0.53	-62.97	4.53
14Lam Cas	0.53	54.52	4.74
51 Psc	0.54	6.96	5.69
52 Psc	0.54	20.29	5.38
Bet3Tuc	0.55	-63.03	5.07
15Kap Cas	0.55	62.93	4.17
The Tuc	0.56	-71.27	6.11
16 Cas	0.57	66.75	6.47
13 Cet	0.59	-3.59	5.2
14 Cet	0.59	-0.51	5.94
Lam2Phe	0.59	-48.00	5.51
53 Psc	0.61	15.23	5.89
29Pi  And	0.61	33.72	4.34
17Zet Cas	0.62	53.90	3.69
30Eps And	0.64	29.31	4.34
31Del And	0.66	30.86	3.27
