M	RA	Dec	Mag
M1	83.50	22.02	8.4
M2	323.25	-0.82	6.5
M3	205.50	28.38	6.4
M4	245.75	-26.53	5.9
M5	229.50	2.08	5.8
M6	265.00	-32.22	4.2
M7	268.50	-34.82	3.3
M8	270.75	-24.38	5.8
M9	259.75	-18.52	7.9
M10	254.25	-4.10	6.6
M11	282.75	-6.27	5.8
M12	251.75	-1.95	6.6
M13	250.50	36.47	5.9
M14	264.50	-3.25	7.6
M15	322.50	12.17	6.4
M16	274.75	-13.78	6.0
M17	275.25	-16.18	7.0
M18	275.00	-17.13	6.9
M19	255.75	-26.27	7.2
M20	270.50	-23.03	8.5
M21	271.25	-22.50	5.9
M22	279.00	-23.90	5.1
M23	269.25	-19.02	5.5
M24	274.00	-18.48	4.5
M25	278.00	-19.25	4.6
M26	281.25	-9.40	8.0
M27	300.00	22.72	8.1
M28	276.25	-24.87	6.9
M29	305.75	38.53	6.6
M30	325.00	-23.18	7.5
M31	10.75	41.27	3.4
M32	10.75	40.87	8.2
M33	23.50	30.65	5.7
M34	40.50	42.78	5.2
M35	92.25	24.33	5.1
M36	84.00	34.13	6.0
M37	88.00	32.55	5.6
M38	82.25	35.83	6.4
M39	323.00	48.43	4.6
M40	185.50	58.08	8.0
M41	101.75	-20.73	4.5
M42	83.75	-5.45	4.0
M43	83.75	-5.27	9.0
M44	130.00	19.98	3.1
M45	56.75	24.12	1.2
M46	115.50	-14.82	6.1
M47	114.25	-14.50	4.4
M48	123.50	-5.80	5.8
M49	187.50	8.00	8.4
M50	105.75	-8.33	5.9
M51	202.50	47.20	8.1
M52	351.00	61.58	6.9
M53	198.25	18.17	7.7
M54	283.75	-30.48	7.7
M55	295.00	-30.97	7.0
M56	289.25	30.18	8.2
M57	283.50	33.03	9.0
M58	189.50	11.82	9.8
M59	190.50	11.65	9.8
M60	191.00	11.55	8.8
M61	185.50	4.47	9.7
M62	255.25	-30.12	6.6
M63	199.00	42.03	8.6
M64	194.25	21.68	8.5
M65	169.75	13.08	9.3
M66	170.00	12.98	9.0
M67	132.50	11.82	6.9
M68	190.00	-26.75	8.2
M69	277.75	-32.35	7.7
M70	280.75	-32.30	8.1
M71	298.50	18.78	8.3
M72	313.50	-12.53	9.4
M73	314.50	-12.63	2.8
M74	24.25	15.78	9.2
M75	301.50	-21.92	8.6
M76	25.50	51.57	11.5
M77	40.75	0.02	8.8
M78	86.75	0.05	8.0
M79	81.00	-24.55	8.0
M80	244.25	-22.98	7.2
M81	149.00	69.07	6.8
M82	149.00	69.68	8.4
M83	204.50	-29.87	7.6
M84	186.25	12.88	9.3
M85	186.25	18.18	9.2
M86	186.50	12.95	9.2
M87	187.75	12.40	8.6
M88	188.00	14.42	9.5
M89	189.00	12.55	9.8
M90	189.25	13.17	9.5
M91	188.75	14.50	10.2
M92	259.25	43.13	6.5
M93	116.25	-23.87	6.2
M94	192.75	41.12	8.1
M95	161.00	11.70	9.7
M96	161.75	11.82	9.2
M97	168.75	55.02	11.2
M98	183.50	14.90	10.1
M99	184.75	14.42	9.8
M100	185.75	15.82	9.4
M101	210.75	54.35	7.7
M102	210.75	54.35	7.7
M103	23.25	60.70	7.4
M104	190.00	-11.62	8.3
M105	162.00	12.58	9.3
M106	184.75	47.30	8.3
M107	248.25	-13.05	8.1
M108	168.00	55.67	10.0
M109	179.50	53.38	9.8
M110	10.00	41.68	8.0
